DATAFLOW,LAST UPDATE,freq,sex,age,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,DE,2013,29.9,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,DE,2014,28.4,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,DE,2015,29.6,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,DE,2016,30.5,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,DE,2017,31.3,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,DE,2018,32.3,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,DE,2019,33.3,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,DE,2020,35.3,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,DE,2021,36.9,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2011,38.6,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2012,40.2,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2013,40.9,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2014,41.6,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2015,43.0,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2016,44.6,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2017,45.5,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2018,45.8,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2019,47.1,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2020,47.1,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2021,49.7,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2011,39.0,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2012,40.1,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2013,40.6,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2014,40.6,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2015,38.5,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2016,39.1,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2017,40.9,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2018,41.1,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2019,40.6,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2020,40.1,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,EE,2021,43.2,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,EL,2011,32.3,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,EL,2012,34.5,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,EL,2013,37.2,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,EL,2014,38.7,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,EL,2015,40.1,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,EL,2016,41.0,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,EL,2017,42.5,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,EL,2018,42.8,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,EL,2019,42.4,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,EL,2020,43.7,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,EL,2021,44.2,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,ES,2011,40.3,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,ES,2012,40.4,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,ES,2013,41.1,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,ES,2014,41.5,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,ES,2015,41.0,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,ES,2016,41.0,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,ES,2017,42.6,
