Country Name,Country Code,Time,Time Code,"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]"
Austria,AUT,2011,YR2011,1.43
Austria,AUT,2012,YR2012,1.44
Austria,AUT,2013,YR2013,1.44
Austria,AUT,2014,YR2014,1.46
Austria,AUT,2015,YR2015,1.49
Austria,AUT,2016,YR2016,1.53
Austria,AUT,2017,YR2017,1.52
Austria,AUT,2018,YR2018,1.47
Austria,AUT,2019,YR2019,1.46
Austria,AUT,2020,YR2020,1.44
Austria,AUT,2021,YR2021,1.48
Belgium,BEL,2011,YR2011,1.81
Belgium,BEL,2012,YR2012,1.8
Belgium,BEL,2013,YR2013,1.76
Belgium,BEL,2014,YR2014,1.74
Belgium,BEL,2015,YR2015,1.7
Belgium,BEL,2016,YR2016,1.68
Belgium,BEL,2017,YR2017,1.65
Belgium,BEL,2018,YR2018,1.62
Belgium,BEL,2019,YR2019,1.6
Belgium,BEL,2020,YR2020,1.55
Belgium,BEL,2021,YR2021,1.6
Bulgaria,BGR,2011,YR2011,1.51
Bulgaria,BGR,2012,YR2012,1.5
Bulgaria,BGR,2013,YR2013,1.48
Bulgaria,BGR,2014,YR2014,1.53
Bulgaria,BGR,2015,YR2015,1.53
Bulgaria,BGR,2016,YR2016,1.54
Bulgaria,BGR,2017,YR2017,1.56
Bulgaria,BGR,2018,YR2018,1.56
Bulgaria,BGR,2019,YR2019,1.58
Bulgaria,BGR,2020,YR2020,1.56
Bulgaria,BGR,2021,YR2021,1.58
Cyprus,CYP,2011,YR2011,1.36
Cyprus,CYP,2012,YR2012,1.386
Cyprus,CYP,2013,YR2013,1.305
Cyprus,CYP,2014,YR2014,1.315
Cyprus,CYP,2015,YR2015,1.326
Cyprus,CYP,2016,YR2016,1.36
Cyprus,CYP,2017,YR2017,1.322
Cyprus,CYP,2018,YR2018,1.32
Cyprus,CYP,2019,YR2019,1.332
Cyprus,CYP,2020,YR2020,1.328
Cyprus,CYP,2021,YR2021,1.321
Croatia,HRV,2011,YR2011,1.41
Croatia,HRV,2012,YR2012,1.52
Croatia,HRV,2013,YR2013,1.46
Croatia,HRV,2014,YR2014,1.46
Croatia,HRV,2015,YR2015,1.41
Croatia,HRV,2016,YR2016,1.43
Croatia,HRV,2017,YR2017,1.42
Croatia,HRV,2018,YR2018,1.47
Croatia,HRV,2019,YR2019,1.47
Croatia,HRV,2020,YR2020,1.48
Croatia,HRV,2021,YR2021,1.62
Czechia,CZE,2011,YR2011,1.43
Czechia,CZE,2012,YR2012,1.45
Czechia,CZE,2013,YR2013,1.46
Czechia,CZE,2014,YR2014,1.53
Czechia,CZE,2015,YR2015,1.57
Czechia,CZE,2016,YR2016,1.63
Czechia,CZE,2017,YR2017,1.69
Czechia,CZE,2018,YR2018,1.71
Czechia,CZE,2019,YR2019,1.71
Czechia,CZE,2020,YR2020,1.71
Czechia,CZE,2021,YR2021,1.83
Denmark,DNK,2011,YR2011,1.75
Denmark,DNK,2012,YR2012,1.73
Denmark,DNK,2013,YR2013,1.67
Denmark,DNK,2014,YR2014,1.69
Denmark,DNK,2015,YR2015,1.71
Denmark,DNK,2016,YR2016,1.79
Denmark,DNK,2017,YR2017,1.75
Denmark,DNK,2018,YR2018,1.73
Denmark,DNK,2019,YR2019,1.7
Denmark,DNK,2020,YR2020,1.68
Denmark,DNK,2021,YR2021,1.72
Estonia,EST,2011,YR2011,1.61
Estonia,EST,2012,YR2012,1.56
Estonia,EST,2013,YR2013,1.52
Estonia,EST,2014,YR2014,1.54
Estonia,EST,2015,YR2015,1.58
Estonia,EST,2016,YR2016,1.6
Estonia,EST,2017,YR2017,1.59
Estonia,EST,2018,YR2018,1.67
Estonia,EST,2019,YR2019,1.66
Estonia,EST,2020,YR2020,1.58
Estonia,EST,2021,YR2021,1.61
Finland,FIN,2011,YR2011,1.83
Finland,FIN,2012,YR2012,1.8
Finland,FIN,2013,YR2013,1.75
Finland,FIN,2014,YR2014,1.71
Finland,FIN,2015,YR2015,1.65
Finland,FIN,2016,YR2016,1.57
Finland,FIN,2017,YR2017,1.49
Finland,FIN,2018,YR2018,1.41
Finland,FIN,2019,YR2019,1.35
Finland,FIN,2020,YR2020,1.37
Finland,FIN,2021,YR2021,1.46
France,FRA,2011,YR2011,2.01
France,FRA,2012,YR2012,2.01
France,FRA,2013,YR2013,1.99
France,FRA,2014,YR2014,2
France,FRA,2015,YR2015,1.96
France,FRA,2016,YR2016,1.92
France,FRA,2017,YR2017,1.89
France,FRA,2018,YR2018,1.87
France,FRA,2019,YR2019,1.86
France,FRA,2020,YR2020,1.83
France,FRA,2021,YR2021,1.83
Germany,DEU,2011,YR2011,1.39
Germany,DEU,2012,YR2012,1.41
Germany,DEU,2013,YR2013,1.42
Germany,DEU,2014,YR2014,1.47
Germany,DEU,2015,YR2015,1.5
Germany,DEU,2016,YR2016,1.6
Germany,DEU,2017,YR2017,1.57
Germany,DEU,2018,YR2018,1.57
Germany,DEU,2019,YR2019,1.54
Germany,DEU,2020,YR2020,1.53
Germany,DEU,2021,YR2021,1.58
Greece,GRC,2011,YR2011,1.4
Greece,GRC,2012,YR2012,1.34
Greece,GRC,2013,YR2013,1.29
Greece,GRC,2014,YR2014,1.3
Greece,GRC,2015,YR2015,1.33
Greece,GRC,2016,YR2016,1.38
Greece,GRC,2017,YR2017,1.35
Greece,GRC,2018,YR2018,1.35
Greece,GRC,2019,YR2019,1.34
Greece,GRC,2020,YR2020,1.39
Greece,GRC,2021,YR2021,1.39
Hungary,HUN,2011,YR2011,1.23
Hungary,HUN,2012,YR2012,1.34
Hungary,HUN,2013,YR2013,1.35
Hungary,HUN,2014,YR2014,1.44
Hungary,HUN,2015,YR2015,1.45
Hungary,HUN,2016,YR2016,1.53
