Country Name,Country Code,Time,Time Code,"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]"
Hungary,HUN,2017,YR2017,1.54
Hungary,HUN,2018,YR2018,1.55
Hungary,HUN,2019,YR2019,1.55
Hungary,HUN,2020,YR2020,1.59
Hungary,HUN,2021,YR2021,1.59
Ireland,IRL,2011,YR2011,2.03
Ireland,IRL,2012,YR2012,1.98
Ireland,IRL,2013,YR2013,1.93
Ireland,IRL,2014,YR2014,1.89
Ireland,IRL,2015,YR2015,1.85
Ireland,IRL,2016,YR2016,1.81
Ireland,IRL,2017,YR2017,1.77
Ireland,IRL,2018,YR2018,1.75
Ireland,IRL,2019,YR2019,1.71
Ireland,IRL,2020,YR2020,1.63
Ireland,IRL,2021,YR2021,1.72
Iceland,ISL,2011,YR2011,2.02
Iceland,ISL,2012,YR2012,2.04
Iceland,ISL,2013,YR2013,1.93
Iceland,ISL,2014,YR2014,1.93
Iceland,ISL,2015,YR2015,1.8
Iceland,ISL,2016,YR2016,1.74
Iceland,ISL,2017,YR2017,1.71
Iceland,ISL,2018,YR2018,1.71
Iceland,ISL,2019,YR2019,1.74
Iceland,ISL,2020,YR2020,1.72
Iceland,ISL,2021,YR2021,1.82
Italy,ITA,2011,YR2011,1.44
Italy,ITA,2012,YR2012,1.43
Italy,ITA,2013,YR2013,1.39
Italy,ITA,2014,YR2014,1.37
Italy,ITA,2015,YR2015,1.35
Italy,ITA,2016,YR2016,1.34
Italy,ITA,2017,YR2017,1.32
Italy,ITA,2018,YR2018,1.29
Italy,ITA,2019,YR2019,1.27
Italy,ITA,2020,YR2020,1.24
Italy,ITA,2021,YR2021,1.25
Latvia,LVA,2011,YR2011,1.33
Latvia,LVA,2012,YR2012,1.44
Latvia,LVA,2013,YR2013,1.52
Latvia,LVA,2014,YR2014,1.65
Latvia,LVA,2015,YR2015,1.7
Latvia,LVA,2016,YR2016,1.74
Latvia,LVA,2017,YR2017,1.69
Latvia,LVA,2018,YR2018,1.6
Latvia,LVA,2019,YR2019,1.61
Latvia,LVA,2020,YR2020,1.55
Latvia,LVA,2021,YR2021,1.57
Lithuania,LTU,2011,YR2011,1.55
Lithuania,LTU,2012,YR2012,1.6
Lithuania,LTU,2013,YR2013,1.59
Lithuania,LTU,2014,YR2014,1.63
Lithuania,LTU,2015,YR2015,1.7
Lithuania,LTU,2016,YR2016,1.69
Lithuania,LTU,2017,YR2017,1.63
Lithuania,LTU,2018,YR2018,1.63
Lithuania,LTU,2019,YR2019,1.61
Lithuania,LTU,2020,YR2020,1.48
Lithuania,LTU,2021,YR2021,1.34
Luxembourg,LUX,2011,YR2011,1.52
Luxembourg,LUX,2012,YR2012,1.57
Luxembourg,LUX,2013,YR2013,1.55
Luxembourg,LUX,2014,YR2014,1.5
Luxembourg,LUX,2015,YR2015,1.47
Luxembourg,LUX,2016,YR2016,1.41
Luxembourg,LUX,2017,YR2017,1.39
Luxembourg,LUX,2018,YR2018,1.38
Luxembourg,LUX,2019,YR2019,1.34
Luxembourg,LUX,2020,YR2020,1.36
Luxembourg,LUX,2021,YR2021,1.38
Montenegro,MNE,2011,YR2011,1.65
Montenegro,MNE,2012,YR2012,1.72
Montenegro,MNE,2013,YR2013,1.73
Montenegro,MNE,2014,YR2014,1.75
Montenegro,MNE,2015,YR2015,1.74
Montenegro,MNE,2016,YR2016,1.79
Montenegro,MNE,2017,YR2017,1.78
Montenegro,MNE,2018,YR2018,1.76
Montenegro,MNE,2019,YR2019,1.77
Montenegro,MNE,2020,YR2020,1.75
Montenegro,MNE,2021,YR2021,1.75
North Macedonia,MKD,2011,YR2011,1.46
North Macedonia,MKD,2012,YR2012,1.5
North Macedonia,MKD,2013,YR2013,1.5
North Macedonia,MKD,2014,YR2014,1.5
North Macedonia,MKD,2015,YR2015,1.49
North Macedonia,MKD,2016,YR2016,1.5
North Macedonia,MKD,2017,YR2017,1.43
North Macedonia,MKD,2018,YR2018,1.42
North Macedonia,MKD,2019,YR2019,1.34
North Macedonia,MKD,2020,YR2020,1.31
North Macedonia,MKD,2021,YR2021,1.6
Netherlands,NLD,2011,YR2011,1.76
Netherlands,NLD,2012,YR2012,1.72
Netherlands,NLD,2013,YR2013,1.68
Netherlands,NLD,2014,YR2014,1.71
Netherlands,NLD,2015,YR2015,1.66
Netherlands,NLD,2016,YR2016,1.66
Netherlands,NLD,2017,YR2017,1.62
Netherlands,NLD,2018,YR2018,1.59
Netherlands,NLD,2019,YR2019,1.57
Netherlands,NLD,2020,YR2020,1.54
Netherlands,NLD,2021,YR2021,1.62
Norway,NOR,2011,YR2011,1.88
Norway,NOR,2012,YR2012,1.85
Norway,NOR,2013,YR2013,1.78
Norway,NOR,2014,YR2014,1.75
Norway,NOR,2015,YR2015,1.72
Norway,NOR,2016,YR2016,1.71
Norway,NOR,2017,YR2017,1.62
Norway,NOR,2018,YR2018,1.56
Norway,NOR,2019,YR2019,1.53
Norway,NOR,2020,YR2020,1.48
Norway,NOR,2021,YR2021,1.55
Portugal,PRT,2011,YR2011,1.35
Portugal,PRT,2012,YR2012,1.28
Portugal,PRT,2013,YR2013,1.21
Portugal,PRT,2014,YR2014,1.23
Portugal,PRT,2015,YR2015,1.31
Portugal,PRT,2016,YR2016,1.36
Portugal,PRT,2017,YR2017,1.38
Portugal,PRT,2018,YR2018,1.42
Portugal,PRT,2019,YR2019,1.43
Portugal,PRT,2020,YR2020,1.41
Portugal,PRT,2021,YR2021,1.38
Poland,POL,2011,YR2011,1.33
Poland,POL,2012,YR2012,1.33
Poland,POL,2013,YR2013,1.29
Poland,POL,2014,YR2014,1.32
Poland,POL,2015,YR2015,1.32
Poland,POL,2016,YR2016,1.39
Poland,POL,2017,YR2017,1.48
Poland,POL,2018,YR2018,1.46
Poland,POL,2019,YR2019,1.44
Poland,POL,2020,YR2020,1.39
Poland,POL,2021,YR2021,1.33
Romania,ROU,2011,YR2011,1.47
Romania,ROU,2012,YR2012,1.52
Romania,ROU,2013,YR2013,1.46
Romania,ROU,2014,YR2014,1.56
Romania,ROU,2015,YR2015,1.62
Romania,ROU,2016,YR2016,1.69
Romania,ROU,2017,YR2017,1.71
Romania,ROU,2018,YR2018,1.76
Romania,ROU,2019,YR2019,1.77
Romania,ROU,2020,YR2020,1.8
Romania,ROU,2021,YR2021,1.8
Slovak Republic,SVK,2011,YR2011,1.45
Slovak Republic,SVK,2012,YR2012,1.34
Slovak Republic,SVK,2013,YR2013,1.34
Slovak Republic,SVK,2014,YR2014,1.37
Slovak Republic,SVK,2015,YR2015,1.4
Slovak Republic,SVK,2016,YR2016,1.48
Slovak Republic,SVK,2017,YR2017,1.52
Slovak Republic,SVK,2018,YR2018,1.54
Slovak Republic,SVK,2019,YR2019,1.57
Slovak Republic,SVK,2020,YR2020,1.59
Slovak Republic,SVK,2021,YR2021,1.64
Serbia,SRB,2011,YR2011,1.4
Serbia,SRB,2012,YR2012,1.45
Serbia,SRB,2013,YR2013,1.43
Serbia,SRB,2014,YR2014,1.46
Serbia,SRB,2015,YR2015,1.46
Serbia,SRB,2016,YR2016,1.46
Serbia,SRB,2017,YR2017,1.49
Serbia,SRB,2018,YR2018,1.49
Serbia,SRB,2019,YR2019,1.52
Serbia,SRB,2020,YR2020,1.48
Serbia,SRB,2021,YR2021,1.48
Slovenia,SVN,2011,YR2011,1.56
Slovenia,SVN,2012,YR2012,1.58
Slovenia,SVN,2013,YR2013,1.55
Slovenia,SVN,2014,YR2014,1.58
Slovenia,SVN,2015,YR2015,1.57
Slovenia,SVN,2016,YR2016,1.58
Slovenia,SVN,2017,YR2017,1.62
Slovenia,SVN,2018,YR2018,1.6
Slovenia,SVN,2019,YR2019,1.61
Slovenia,SVN,2020,YR2020,1.59
Slovenia,SVN,2021,YR2021,1.64
Spain,ESP,2011,YR2011,1.34
Spain,ESP,2012,YR2012,1.32
Spain,ESP,2013,YR2013,1.27
Spain,ESP,2014,YR2014,1.32
Spain,ESP,2015,YR2015,1.33
Spain,ESP,2016,YR2016,1.34
Spain,ESP,2017,YR2017,1.31
Spain,ESP,2018,YR2018,1.26
Spain,ESP,2019,YR2019,1.23
Spain,ESP,2020,YR2020,1.19
Spain,ESP,2021,YR2021,1.19
Switzerland,CHE,2011,YR2011,1.52
Switzerland,CHE,2012,YR2012,1.52
Switzerland,CHE,2013,YR2013,1.52
Switzerland,CHE,2014,YR2014,1.54
Switzerland,CHE,2015,YR2015,1.54
Switzerland,CHE,2016,YR2016,1.54
Switzerland,CHE,2017,YR2017,1.52
Switzerland,CHE,2018,YR2018,1.52
Switzerland,CHE,2019,YR2019,1.48
Switzerland,CHE,2020,YR2020,1.46
Switzerland,CHE,2021,YR2021,1.52
Sweden,SWE,2011,YR2011,1.9
Sweden,SWE,2012,YR2012,1.91
Sweden,SWE,2013,YR2013,1.89
Sweden,SWE,2014,YR2014,1.88
Sweden,SWE,2015,YR2015,1.85
Sweden,SWE,2016,YR2016,1.85
Sweden,SWE,2017,YR2017,1.78
Sweden,SWE,2018,YR2018,1.76
Sweden,SWE,2019,YR2019,1.71
Sweden,SWE,2020,YR2020,1.67
Sweden,SWE,2021,YR2021,1.67
United Kingdom,GBR,2011,YR2011,1.91
United Kingdom,GBR,2012,YR2012,1.92
United Kingdom,GBR,2013,YR2013,1.83
United Kingdom,GBR,2014,YR2014,1.81
United Kingdom,GBR,2015,YR2015,1.8
United Kingdom,GBR,2016,YR2016,1.79
United Kingdom,GBR,2017,YR2017,1.74
United Kingdom,GBR,2018,YR2018,1.68
United Kingdom,GBR,2019,YR2019,1.63
United Kingdom,GBR,2020,YR2020,1.56
United Kingdom,GBR,2021,YR2021,1.56
Malta,MLT,2011,YR2011,1.45
Malta,MLT,2012,YR2012,1.42
Malta,MLT,2013,YR2013,1.36
Malta,MLT,2014,YR2014,1.38
Malta,MLT,2015,YR2015,1.37
Malta,MLT,2016,YR2016,1.37
Malta,MLT,2017,YR2017,1.26
Malta,MLT,2018,YR2018,1.23
Malta,MLT,2019,YR2019,1.14
Malta,MLT,2020,YR2020,1.13
Malta,MLT,2021,YR2021,1.14
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 03/28/2024,,,,
